iter	Passed	Remaining
1487	323422	111285
1488	323542	111034
1489	323671	110786
1490	323789	110535
1491	323986	110311
1492	324141	110073
1493	324287	109832
1494	324404	109581
1495	324596	109355
1496	324779	109127
1497	324975	108903
1498	325072	108646
1499	325173	108391
1500	325324	108152
1501	325416	107894
1502	325617	107672
1503	325731	107422
1504	325810	107160
1505	325890	106899
1506	326009	106650
1507	326110	106396
1508	326180	106133
1509	326236	105864
1510	326484	105659
1511	326619	105417
1512	326796	105188
1513	326941	104949
1514	327104	104716
1515	327308	104496
1516	327441	104254
1517	327555	104006
1518	327662	103756
1519	327922	103554
1520	328040	103307
1521	328167	103064
1522	328350	102838
1523	328531	102612
1524	328752	102398
1525	328847	102145
1526	328964	101899
1527	329118	101664
1528	329290	101436
1529	329410	101191
1530	329542	100950
1531	329679	100711
1532	329833	100477
1533	329937	100228
1534	330023	99974
1535	330191	99745
1536	330355	99515
1537	330551	99294
1538	330719	99065
1539	330843	98823
1540	331014	98595
1541	331166	98362
1542	331347	98137
1543	331472	97895
1544	331601	97656
1545	331709	97410
1546	331813	97163
1547	331984	96935
1548	332128	96701
1549	332297	96473
1550	332443	96239
1551	332552	95994
1552	332630	95741
1553	332704	95486
1554	332798	95238
1555	332859	94980
1556	332951	94731
1557	333053	94486
1558	333334	94291
1559	333453	94050
1560	333651	93832
1561	333777	93594
1562	333958	93371
1563	334136	93148
1564	334301	92920
1565	334409	92678
1566	334531	92439
1567	334700	92213
1568	334838	91979
1569	334988	91748
1570	335080	91501
1571	335205	91264
1572	335392	91044
1573	335567	90820
1574	335694	90584
1575	335842	90353
1576	335966	90116
1577	336112	89885
1578	336342	89677
1579	336496	89448
1580	336625	89213
1581	336839	89000
1582	337100	88800
1583	337216	88562
1584	337399	88341
1585	337446	88085
1586	337537	87840
1587	337740	87625
1588	337905	87400
1589	338069	87175
1590	338208	86943
1591	338330	86707
1592	338413	86462
1593	338500	86217
1594	338586	85973
1595	338767	85753
1596	338942	85531
1597	339071	85298
1598	339263	85081
1599	339433	84858
1600	339605	84636
1601	339751	84407
1602	339929	84187
1603	340027	83946
1604	340136	83709
1605	340325	83492
1606	340518	83275
1607	340727	83062
1608	340880	82836
1609	341094	82625
1610	341389	82433
1611	341660	82235
1612	341834	82014
1613	341969	81784
1614	342124	81559
1615	342244	81325
1616	342365	81092
1617	342449	80850
1618	342546	80611
1619	342632	80370
1620	342766	80141
1621	342886	79908
1622	342979	79669
1623	343123	79442
1624	343305	79224
1625	343412	78989
1626	343578	78767
1627	343742	78545
1628	343894	78320
1629	343950	78074
1630	344040	77836
1631	344218	77617
1632	344421	77405
1633	344585	77183
1634	344752	76963
1635	344986	76757
1636	345159	76538
1637	345330	76318
1638	345461	76090
1639	345624	75868
1640	345805	75651
1641	346004	75438
1642	346201	75224
1643	346376	75006
1644	346520	74781
1645	346657	74554
1646	346896	74350
1647	347085	74134
1648	347177	73898
1649	347281	73665
1650	347531	73463
1651	347675	73239
1652	347843	73019
1653	348028	72804
1654	348131	72571
1655	348245	72340
1656	348415	72122
1657	348562	71898
1658	348731	71680
1659	348864	71454
